[26-Jun-2025 05:09:33 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:09:33 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:12:30 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:12:30 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:12:59 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:02 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:02 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:08 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:08 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:42 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:13:42 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:16:13 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:16:42 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:17:05 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:17:19 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:23:33 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:23:34 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:23:34 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:24:08 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:24:10 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:24:10 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:24:21 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:24:21 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:43:39 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:43:44 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:43:44 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:43:55 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:43:55 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:44:12 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:44:12 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:46:01 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:46:01 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:48:35 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:48:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:48:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:48:57 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:48:59 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 05:48:59 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:01:44 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:01:46 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:01:46 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:02:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:02:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:02:21 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:02:22 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:02:22 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:02:35 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:02:35 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:07:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:07:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:07:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:15:44 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:15:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 06:15:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:18:41 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:18:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:18:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:21:59 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:22:01 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:22:01 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:26:43 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:26:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:26:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:26:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:26:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:08 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:17 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:17 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:39 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:41 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:41 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:44 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:28:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:29:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:29:27 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:29:27 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:29:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:29:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:30:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:30:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:31:09 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:31:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:33:32 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:33:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
